,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
143,Madagascar,Africa,68289,246.611,0,0.0,0,1425,5.146,0,0.0,0
144,Jersey,Europe,66391,61589.484000000004,0,0.0,0,161,149.356,0,0.0,0
145,Sudan,Eastern Mediterranean,63993,145.939,0,0.0,0,5046,11.508,0,0.0,0
146,Cabo Verde,Africa,63978,11507.104,19,3.417,0,414,74.462,0,0.0,0
147,Mauritania,Africa,63700,1369.993,0,0.0,0,997,21.441999999999997,0,0.0,0
148,Bhutan,South-East Asia,62672,8122.259,0,0.0,0,21,2.722,0,0.0,0
149,Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0.0,0,3163,18.074,0,0.0,0
150,Burundi,Africa,53954,453.746,0,0.0,0,15,0.126,0,0.0,0
151,Guam,Western Pacific,51525,30528.811,-48,-28.44,0,413,244.704,0,0.0,0
152,Seychelles,Africa,50937,51793.140999999996,0,0.0,0,172,174.891,0,0.0,0
153,Gabon,Africa,48992,2201.1620000000003,0,0.0,0,307,13.793,0,0.0,0
154,Andorra,Europe,48015,62143.273,0,0.0,0,159,205.785,0,0.0,0
155,Papua New Guinea,Western Pacific,46864,523.794,0,0.0,0,670,7.489,0,0.0,0
156,Curaçao,Americas,45817,27921.362,0,0.0,0,302,184.042,0,0.0,0
157,Aruba,Americas,44200,41398.947,0,0.0,0,290,271.622,0,0.0,0
158,United Republic of Tanzania,Africa,43078,72.116,0,0.0,0,846,1.416,0,0.0,0
159,Mayotte,Africa,42027,15404.945,0,0.0,0,187,68.545,0,0.0,0
160,Togo,Africa,39500,477.12699999999995,0,0.0,0,290,3.503,0,0.0,0
161,Guinea,Africa,38563,293.639,0,0.0,0,468,3.5639999999999996,0,0.0,0
162,Bahamas,Americas,38084,9684.572,0,0.0,0,844,214.625,0,0.0,0
163,Isle of Man,Europe,38008,44698.46599999999,0,0.0,0,116,136.41899999999998,0,0.0,0
164,Guernsey,Europe,35326,54796.178,0,0.0,0,67,103.928,0,0.0,0
165,Faroe Islands,Europe,34658,70926.021,0,0.0,0,28,57.301,0,0.0,0
166,Lesotho,Africa,34490,1609.99,0,0.0,0,706,32.955999999999996,0,0.0,0
167,Haiti,Americas,34241,300.293,0,0.0,0,860,7.542000000000001,0,0.0,0
168,Mali,Africa,33150,163.697,0,0.0,0,743,3.6689999999999996,0,0.0,0
169,Cayman Islands,Americas,31472,47888.01,0,0.0,0,37,56.299,0,0.0,0
170,Saint Lucia,Americas,30052,16365.785,0,0.0,0,409,222.734,0,0.0,0
171,Benin,Africa,28014,231.078,0,0.0,0,163,1.345,0,0.0,0
172,Somalia,Eastern Mediterranean,27334,171.985,0,0.0,0,1361,8.562999999999999,0,0.0,0
173,Micronesia (Federated States of),Western Pacific,26459,23003.225,0,0.0,0,65,56.51,0,0.0,0
174,Congo,Africa,25196,456.608,0,0.0,0,389,7.05,0,0.0,0
175,United States Virgin Islands,Americas,25182,24114.915,60,57.458,0,131,125.449,0,0.0,0
176,San Marino,Europe,24311,71633.567,4,11.786,0,125,368.319,0,0.0,0
177,Timor-Leste,South-East Asia,23456,1779.065,4,0.303,0,138,10.467,0,0.0,0
178,Burkina Faso,Africa,22056,105.515,0,0.0,0,396,1.8940000000000001,0,0.0,0
179,Solomon Islands,Western Pacific,21611,3146.237,0,0.0,0,153,22.275,0,0.0,0
180,Liechtenstein,Europe,21471,55413.322,0,0.0,0,87,224.53400000000002,0,0.0,0
181,Gibraltar,Europe,20550,60995.518,0,0.0,0,113,335.401,0,0.0,0
182,Grenada,Americas,19693,17501.311,0,0.0,0,238,211.512,0,0.0,0
183,Bermuda,Americas,18860,30285.999,0,0.0,0,165,264.962,0,0.0,0
184,South Sudan,Africa,18368,164.092,0,0.0,0,138,1.2329999999999999,0,0.0,0
185,Tajikistan,Europe,17786,186.482,0,0.0,0,125,1.311,0,0.0,0
186,Equatorial Guinea,Africa,17130,1220.968,0,0.0,0,183,13.044,0,0.0,0
187,Tonga,Western Pacific,16817,15910.876,0,0.0,0,12,11.353,0,0.0,0
188,Monaco,Europe,16814,42844.765999999996,10,25.482,0,67,170.727,0,0.0,0
189,Samoa,Western Pacific,16743,8438.417,0,0.0,0,31,15.624,0,0.0,0
190,Marshall Islands,Western Pacific,16098,27195.324,0,0.0,0,17,28.719,0,0.0,0
191,Dominica,Americas,15760,21891.625,0,0.0,0,74,102.791,0,0.0,0
192,Nicaragua,Americas,15752,237.782,13,0.196,0,245,3.698,0,0.0,0
193,Djibouti,Eastern Mediterranean,15690,1588.057,0,0.0,0,189,19.13,0,0.0,0
194,Central African Republic,Africa,15367,318.173,0,0.0,0,113,2.34,0,0.0,0
195,Northern Mariana Islands (Commonwealth of the),Western Pacific,13948,24233.369,0,0.0,0,41,71.234,0,0.0,0
196,Gambia,Africa,12626,522.455,0,0.0,0,372,15.392999999999999,0,0.0,0
197,Saint Martin,Americas,12303,31824.412999999997,0,0.0,0,46,118.98899999999999,0,0.0,0
198,Vanuatu,Western Pacific,12019,3913.135,0,0.0,0,14,4.558,0,0.0,0
199,Greenland,Europe,11971,21086.099,0,0.0,0,21,36.99,0,0.0,0
200,Yemen,Eastern Mediterranean,11945,40.049,0,0.0,0,2159,7.239,0,0.0,0
201,Sint Maarten,Americas,11051,25770.72,0,0.0,0,92,214.542,0,0.0,0
202,Eritrea,Africa,10189,287.30400000000003,0,0.0,0,103,2.904,0,0.0,0
203,Bonaire,Americas,9864,47162.324,0,0.0,0,33,157.781,0,0.0,0
204,Saint Vincent and the Grenadines,Americas,9631,8681.269,0,0.0,0,124,111.772,0,0.0,0
205,Guinea-Bissau,Africa,9614,488.51599999999996,0,0.0,0,177,8.994,0,0.0,0
206,Niger,Africa,9513,39.299,0,0.0,0,315,1.301,0,0.0,0
207,Comoros,Africa,9109,1047.492,0,0.0,0,160,18.399,0,0.0,0
208,Antigua and Barbuda,Americas,9106,9298.573,0,0.0,0,146,149.088,0,0.0,0
209,American Samoa,Western Pacific,8331,15093.212,0,0.0,0,34,61.598,0,0.0,0
210,Liberia,Africa,8090,159.955,0,0.0,0,294,5.813,0,0.0,0
211,Sierra Leone,Africa,7762,97.305,0,0.0,0,125,1.567,0,0.0,0
212,Chad,Africa,7698,46.865,0,0.0,0,194,1.181,0,0.0,0
