,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
57,Djibouti,DJI,EMRO,REPORTING,2023-04-18,392703.0,372077,39.747,37.66,351712,35.598,,2021-03-15,11.0,,
58,Dominica,DMA,AMRO,REPORTING,2023-06-02,67647.0,32995,93.96600000000001,45.832,30659,42.586999999999996,,2021-02-12,5.0,3993.0,5.547000000000001
59,Dominican Republic,DOM,AMRO,REPORTING,2023-06-02,15972891.0,7322815,147.244,67.50399999999999,6095810,56.193000000000005,,2021-02-16,5.0,2554266.0,23.546
60,Ecuador,ECU,AMRO,REPORTING,2023-02-24,39495110.0,15329151,223.856,86.885,14233323,80.67399999999999,,2021-01-20,4.0,7708466.0,43.691
61,Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535.0,56907319,110.103,55.608999999999995,42337175,41.371,,2021-01-24,10.0,15217352.0,14.87
62,El Salvador,SLV,AMRO,REPORTING,2023-06-02,11426688.0,4656627,176.169,71.793,4393762,67.74,,2021-02-17,6.0,1898202.0,29.265
63,Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738.0,270109,34.836,19.252,214032,15.255,,2021-02-12,2.0,4597.0,0.32799999999999996
64,Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0.0,0,0.0,,,,,
65,Estonia,EST,EURO,REPORTING,2023-04-16,2204078.0,845066,165.8,63.588,842103,63.365,,2020-12-23,9.0,487178.0,36.658
66,Eswatini,SWZ,AFRO,REPORTING,2023-05-21,867487.0,526050,74.773,45.343,426134,36.73,,2021-03-19,3.0,177344.0,15.286
67,Ethiopia,ETH,AFRO,REPORTING,2023-05-07,54041862.0,44073766,47.008,38.336999999999996,37637944,32.739000000000004,,2021-03-13,4.0,2855358.0,2.484
68,Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390.0,3220,269.595,92.449,2976,85.444,,,1.0,2543.0,73.012
69,Faroe Islands,FRO,EURO,OWID,2022-02-18,103894.0,41715,212.614,85.368,40895,83.69,,,2.0,21284.0,43.556999999999995
70,Fiji,FJI,WPRO,REPORTING,2023-04-27,1555182.0,712025,173.483,79.428,641194,71.52600000000001,,2021-03-07,3.0,172046.0,19.192
71,Finland,FIN,EURO,REPORTING,2023-05-14,13261002.0,4547283,240.0,82.29899999999999,4364702,78.995,,2020-12-23,5.0,3087911.0,55.887
72,France,FRA,EURO,REPORTING,2023-05-14,158014193.0,54673588,234.7,81.214,53184085,79.002,,2020-12-23,9.0,41033495.0,60.953
73,French Guiana,GUF,AMRO,REPORTING,2023-06-02,242193.0,100299,81.087,33.580999999999996,90464,30.288,,2021-01-13,3.0,46331.0,15.512
74,French Polynesia,PYF,WPRO,REPORTING,2023-05-01,480028.0,190908,170.88400000000001,67.961,186803,66.5,,2021-01-18,2.0,102317.0,36.424
75,Gabon,GAB,AFRO,REPORTING,2023-02-05,572672.0,311244,25.73,13.984000000000002,257471,11.568,,2021-03-23,3.0,2592.0,0.11599999999999999
76,Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492.0,674314,59.772,27.903000000000002,539186,22.311,,2021-03-10,2.0,53741.0,2.224
77,Georgia,GEO,EURO,REPORTING,2023-04-16,2738178.0,1300473,68.6,32.6,1186709,29.748,,2021-03-17,4.0,250996.0,6.292000000000001
78,Germany,DEU,EURO,REPORTING,2023-05-14,193232623.0,64867380,232.3,77.997,63564301,76.43,,2020-12-23,9.0,52141945.0,62.696000000000005
79,Ghana,GHA,AFRO,REPORTING,2023-03-26,22384226.0,13221421,72.038,42.55,10170298,32.73,,2021-03-02,2.0,4062970.0,13.075999999999999
80,Gibraltar,GIB,EURO,OWID,2022-12-16,132810.0,42175,394.2,125.182,41465,123.074,,,2.0,49170.0,145.944
81,Greece,GRC,EURO,REPORTING,2023-05-14,21982946.0,7916291,205.1,73.85600000000001,7744496,72.253,,2020-12-23,7.0,5902227.0,55.065
82,Greenland,GRL,EURO,OWID,2022-03-14,79738.0,41227,140.453,72.619,38511,67.834,,,1.0,,
83,Grenada,GRD,AMRO,REPORTING,2023-06-02,90686.0,44241,80.593,39.317,39034,34.69,,2021-02-15,5.0,7411.0,6.586
84,Guadeloupe,GLP,AMRO,REPORTING,2023-06-02,400129.0,152113,100.001,38.016,146098,36.513000000000005,,2021-01-08,7.0,89009.0,22.245
85,Guam,GUM,WPRO,REPORTING,2023-01-31,352698.0,135612,208.975,80.351,128788,76.308,,2021-01-04,3.0,83603.0,49.535
86,Guatemala,GTM,AMRO,REPORTING,2023-06-02,20370595.0,8935137,113.70299999999999,49.873999999999995,7127944,39.786,,2021-02-25,5.0,3719543.0,20.761999999999997
87,Guernsey,GGY,EURO,OWID,2022-12-19,178525.0,54223,276.92,84.10799999999999,52710,81.76100000000001,,,3.0,69339.0,107.556
88,Guinea,GIN,AFRO,REPORTING,2023-04-02,10645240.0,7679918,81.058,58.479,4725982,35.986,,2021-03-05,6.0,302545.0,2.3040000000000003
89,Guinea-Bissau,GNB,AFRO,REPORTING,2023-05-21,824250.0,733271,41.883,37.26,533741,27.121,,2021-04-02,2.0,48801.0,2.48
90,Guyana,GUY,AMRO,REPORTING,2023-06-02,960133.0,495285,122.069,62.968999999999994,381984,48.56399999999999,,2021-02-11,7.0,77874.0,9.901
91,Haiti,HTI,AMRO,REPORTING,2023-06-02,664150.0,521396,5.825,4.573,350403,3.073,,,2.0,,
92,Honduras,HND,AMRO,REPORTING,2023-06-02,16901540.0,6485671,170.643,65.48100000000001,5751048,58.06399999999999,,2021-02-22,6.0,4665196.0,47.101000000000006
93,Hungary,HUN,EURO,REPORTING,2023-05-14,16569954.0,6358513,169.6,65.085,6151876,62.97,,2020-12-23,8.0,3868577.0,39.598
94,Iceland,ISL,EURO,REPORTING,2023-04-16,869976.0,307269,238.9,84.40299999999999,297921,81.816,,2020-12-30,5.0,254556.0,69.907
95,India,IND,SEARO,REPORTING,2023-05-30,2206710296.0,1025819990,159.906,74.335,952117967,68.994,,2021-01-16,8.0,228772339.0,16.578
96,Indonesia,IDN,SEARO,REPORTING,2023-06-06,447595845.0,203845350,163.641,74.52600000000001,174893201,63.941,,2021-01-13,7.0,68857294.0,25.174
97,Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-05-23,155369703.0,65176523,184.979,77.598,58562317,69.723,,2021-02-09,12.0,28562352.0,34.006
98,Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364.0,11332925,48.623000000000005,28.176,7944775,19.752,,2021-03-02,10.0,275280.0,0.684
99,Ireland,IRL,EURO,REPORTING,2023-05-14,12377654.0,4107919,249.3,85.49,4062518,81.832,,2020-12-30,5.0,3056320.0,61.56399999999999
100,Isle of Man,IMN,EURO,OWID,2022-06-23,189994.0,69560,223.438,81.804,67106,78.919,,,3.0,53328.0,62.715
101,Israel,ISR,EURO,REPORTING,2022-06-05,15026951.0,7055466,173.6,81.514,6385731,73.77600000000001,,2020-12-16,3.0,1585754.0,18.320999999999998
102,Italy,ITA,EURO,REPORTING,2023-05-14,150311519.0,50580760,252.0,84.81200000000001,49483812,82.969,,2020-12-23,9.0,44914882.0,75.308
103,Jamaica,JAM,AMRO,REPORTING,2023-06-02,1525895.0,858035,51.53,28.976,758800,25.625,,2021-03-10,6.0,45995.0,1.5530000000000002
104,Japan,JPN,WPRO,REPORTING,2023-06-06,392346325.0,104715237,310.21299999999997,82.794,103392920,81.749,,2021-02-17,4.0,86527378.0,68.414
105,Jersey,JEY,EURO,OWID,2023-01-29,266953.0,84365,247.646,78.264,81882,75.96,,,3.0,73662.0,68.335
